Tablo 1
Firma;Konum;Pozisyon;çalışma şekli;Tarih
BEYÇELİK GESTAMP ŞASİ OTOMOTİV SANAYİ ANONİM ŞİRKETİ;Kocaeli;İş Geliştirme Uzmanı;İş Yerinde;2023
Securitas Güvenlik Hizmetleri A.Ş.;Tekirdağ;Bölge Satış ve İş Geliştirme Uzmanı;Uzaktan / Remote;2021
ODAK TEDARİK ZİNCİRİ VE LOJİSTİK ANONİM ŞİRKETİ;İstanbul;İş Geliştirme Uzmanı;İş Yerinde;2024
ALBERT GENAU;Ankara;Ürün ve İş Geliştirme Uzmanı;İş Yerinde;2021
Dore Eğitim Kurumları;İstanbul;İş Geliştirme Uzmanı;İş Yerinde;2023
Netlog Lojistik Hizmetleri A.Ş.;İstanbul;İş ve Sistem Geliştirme Uzmanı;İş Yerinde;2021
ALBERT GENAU;Ankara;Ürün ve İş Geliştirme Uzmanı;Hibrit;2024
SECURITAS GÜVENLİK HİZMETLERİ ANONİM ŞİRKETİ;İstanbul;Bölge Satış ve İş Geliştirme Uzmanı;İş Yerinde;2021
PAYCO ELEKTRONİK PARA VE ÖDEME HİZMETLERİ ANONİM ŞİRKETİ;İstanbul;İş Geliştirme Uzmanı;İş Yerinde;2022
Hedef Tüketim Ürünleri San. ve Dış Tic. A.Ş;İstanbul;İş Geliştirme Uzman/Uzman Yardımcısı;İş Yerinde;2024
HAUS;Aydın;Business Development Support Specialist;İş Yerinde;2021
Jengal Yazılım;İstanbul;Business Development Specialist;İş Yerinde;2023
VESTEL A.Ş.;İzmir ;Automotive Sales & Business Development Specialist;İş Yerinde;2022
LOGO YAZILIM SAN.VE TİC.A.Ş.;İstanbul;Bankacılık ve Fintech İş Geliştirme Uzmanı -Remote;İş Yerinde;2021
KALDE ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ;Ankara;İş Geliştirme Uzmanı;Uzaktan / Remote;2024
VETAMERİKAN VETERİNERLİK HİZMETLERİ TİCARET ANONİM ŞİRKETİ;İstanbul;İş Geliştirme Uzmanı;Hibrit;2021
ATHENA BİLİŞİM ÇÖZÜMLERİ ANONİM ŞİRKETİ;İstanbul;Oracle Uygulamaları Danışmanı;Uzaktan / Remote;2021
NTT Data Business Solutions Türkiye;İstanbul;Sr/Expert Data Scientist;İş Yerinde;2022
NTT Data Business Solutions Türkiye;İstanbul;İş Zekası Danışmanı;İş Yerinde;2023
Bosch;Bursa;R&D Data Scientist;Uzaktan / Remote;2022
İMTEK İLERİ MALZEMELER VE TEKNOLOJİLER ANONİM ŞİRKETİ;Ankara;ERP Mühendisi;Hibrit;2024
Gizli Firma;Samsun;ERP Mühendisi;Hibrit;2023
CVK MADEN İŞLETMELERİ SANAYİ VE TİCARETA.Ş.;İstanbul;ERP Mühendisi;İş Yerinde;2022
Sektöründe Öncü Firma;Ankara;Veri Bilimci;İş Yerinde;2024
HUMAN KAPİTAL İNSAN KAYN.VE DAN.HİZ.SAN.TİC.LTD.ŞTİ;İstanbul;Arge Proses Yöneticisi (Enjeksiyon);İş Yerinde;2021
Assan Bilişim;İstanbul;Veri Bilimci;İş Yerinde;2024
Özak Global Holding;İstanbul;Analitik CRM Uzmanı;İş Yerinde;2024
Datateam Bilgi Teknolojileri Ltd. Şti.;Ankara;SQL Yazılım Uzmanı;Hibrit;2021
Asis;Ankara;SQL Developer;Hibrit;2022
Astor Enerji A.Ş.;İstanbul;Ms-Sql Veri Tabanı ve Yazılım Uzmanı;Uzaktan / Remote;2022
TURBOARD (E-Kalite);Kocaeli;Veritabanı Uzmanı;İş Yerinde;2021
TÜRBOSAN TÜRBO MAKİNALAR SANAYİ VE TİCARET A.Ş.;İstanbul;SAP Uzmanı;İş Yerinde;2024
Saya Grup İç ve Dış Ticaret;İstanbul;SAP SD Uzmanı;İş Yerinde;2022
Still Arser İş Makinaları Servis ve Tic. A.Ş.;İstanbul;SAP Uzmanı (Finansal);İş Yerinde;2022
AYTEMİZ AKARYAKIT DAĞITIM ANONİM ŞİRKETİ;İstanbul;SAP Uzmanı;İş Yerinde;2023
Mutlu Akü;İzmir;SAP Specialist;Uzaktan / Remote;2024
VOLT TEKNOLOJİ GELİŞTİRME VE MÜHENDİSLİK A.Ş.;İstanbul;SAP Uzmanı;Hibrit;2023
EagleBurgmann Turkey;İstanbul;SAP Fıco Specialist;Hibrit;2022
Silverline;İstanbul;SAP Fı-Co Uzmanı;İş Yerinde;2023
Korozo Ambalaj San. ve Tic. A.Ş.;İstanbul;SAP Modül Uzmanı;İş Yerinde;2022
EMAA SİGORTA A.Ş.;Ankara;Sistem Analisti Uzmanı;İş Yerinde;2024
Gizli Firma;Sakarya;SAP Uzmanı;İş Yerinde;2022
Sektöründe Öncü Firma;İstanbul;SAP Uzmanı;Uzaktan / Remote;2023
Doğanlar Mobilya Grubu imalat San.ve Tic. A.Ş;Kocaeli;SAP Finansal Modüller Uzmanı;Hibrit;2021
Toyota Tsusho Turkey;Tekirdağ;SAP Support Specialist;İş Yerinde;2021
Penti;İstanbul;SAP Modül Analisti;Uzaktan / Remote;2021
Penti;İstanbul;Kıdemli SAP Geliştirme Uzmanı;İş Yerinde;2023
WeHire;Ankara;DevOps Uzmanı;İş Yerinde;2021
Dünya Varlık Yönetim A.Ş.;İstanbul;Yazılım Mimarı/Devops;Hibrit;2021
Uluğ Enerji Dağıtım ve Perakende Satış Hizmetleri;Ankara;DevOps Uzmanı;İş Yerinde;2021
Borçelik;Bursa;Proje Yönetim Ofisi Uzmanı;Hibrit;2022
Gulf Sigorta A.Ş.;İstanbul;Nakliyat Sigortaları Underwriting Uzmanı;Hibrit;2023
RHG ENERTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ;İstanbul;Proje Yönetim Ofisi Uzmanı;Uzaktan / Remote;2024
ABB Elektrik Sanayi A.Ş.;Kocaeli;Project Manager (Mv Switchgear);İş Yerinde;2021
TÜRKİYE KATILIM SİGORTA ANONİM ŞİRKETİ;İstanbul;Veri Tabanı Uzmanı;İş Yerinde;2021
G Teknoloji Bilişim San. ve Tic. A.Ş.;Kocaeli;GTech Veri Tabanı Akademisi;İş Yerinde;2021
Logo Yazılım San Ve Tic A.Ş.;İstanbul ;Kıdemli Veri Tabanı Uzmanı;İş Yerinde;2021
Sompo Sigorta A.Ş.;İzmir;Veri Tabanı Yöneticisi;İş Yerinde;2021
Nesine.com;İstanbul;Kıdemli Veri Tabanı Uzmanı Postgresql;İş Yerinde;2024
Gizli Firma;İstanbul;İş Geliştirme Yetkilisi;İş Yerinde;2021
Gizli Firma;İstanbul;İş Geliştirme Yetkilisi;İş Yerinde;2022
TÜRKİYE İHRACAT KREDİ BANKASI A.Ş.;İstanbul;Veri Tabanı Deneyimli Uzmanı;İş Yerinde;2024
Palmet Şirketler Grubu;Ankara;Veri Tabanı Uzmanı;İş Yerinde;2024
Mikrogrup;İstanbul;Veri Tabanı Uzmanı;İş Yerinde;2021
Sektöründe Öncü Firma;İstanbul;Veri Tabanı Uzmanı;Hibrit;2024
Ges Lojistik;İstanbul;Business Development Manager;İş Yerinde;2023
RND;İstanbul;Proje Uzman Yardımcısı;İş Yerinde;2022
Minerva Yazılım;İstanbul;Proje Uzman Yardımcısı;İş Yerinde;2024
Turkon Holding;İstanbul;Projeler Uzman Yardımcısı;İş Yerinde;2023
Atasay Kuyumculuk;İstanbul;Ürün Yönetimi Uzman Yardımcısı / Altın Markalar;Hibrit;2024
COŞKUN HAZIR GİYİM A.Ş;İstanbul;Alokasyon / Ürün Dağıtım Uzman Yardımcısı;İş Yerinde;2022
Koç Üniversitesi;İstanbul;Cleanroom Assistant Specialist;İş Yerinde;2021
Gizli Firma;İstanbul;IT Operations Senior Specialist;İş Yerinde;2022
Aras Kargo;Bursa;Kıdemli İş Zekası Uzmanı;Hibrit;2021
İstanbul Sabiha Gökçen Uluslararası Havalimanı;İstanbul;IT Operasyon Destek Uzmanı;İş Yerinde;2021
Bosch;Kocaeli;IT Product/Service Expert Consultant;Hibrit;2024
Bosch;Tekirdağ;IT Solution Consultant;İş Yerinde;2024
TRELLEBORG;İstanbul;IT Operations;Hibrit;2024
World Medicine İlaç San.Ve Tic. A.Ş.;Ankara;Çerkezköy - Bilgi Teknolojileri Uzman Yardımcısı;Hibrit;2023
MNT Sağlık Hizmetleri Tic. A.Ş;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;Uzaktan / Remote;2023
Muzaffer Polat San. Tic. A.Ş.;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;Uzaktan / Remote;2022
AYTEMİZ KESİNTİSİZ GÜÇ KAYNAKLARI ANONİM ŞİRKETİ;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2024
AYTEMİZ AKARYAKIT DAĞITIM ANONİM ŞİRKETİ;Kayseri;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2023
Zülfikarlar Holding A.Ş;Kayseri;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2022
BELLONA MOBİLYA SAN. VE TİC. A.Ş.;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2024
Sersim Dayanıklı Tüketim Mal San ve Tic İbrahim Ustaoğlu Mehmet Ustaoğlu Kol Şir;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2024
Optik Medikal Ticaret A.Ş.;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;Hibrit;2023
Sompo Sigorta A.Ş.;İstanbul;Yardımcı Süreç Analizi Yöneticisi;İş Yerinde;2024
Acme Holding;İstanbul;ERP Destek Sorumlusu;Hibrit;2022
Taha Giyim San. Ve Tic. A.Ş.;Ankara;SAP MM Modül Uzmanı;İş Yerinde;2021
Taha Giyim San. Ve Tic. A.Ş.;İstanbul;SAP MM Modül Uzmanı;İş Yerinde;2023
TÜRKERLER İNŞAAT TURİZM MADEN.ENERJİÜR.TİC.VE SAN.AŞ;İstanbul;Lisans İşleri Uzmanı;Hibrit;2022
Sampaş A.Ş.;İstanbul;GIS Yazılım Geliştirme Uzmanı;Hibrit;2022
TM MARKETING DANIŞMANLIK LİMİTED ŞİRKETİ;İstanbul;CRM Specialist;Hibrit;2024
TatilBudur.Com;Ankara;CRM Uzmanı;İş Yerinde;2024
İstanbul Bilgi Üniversitesi;İstanbul;CRM Uzmanı;İş Yerinde;2021
Dünya Varlık Yönetim A.Ş.;İstanbul;Yazılım Mimarı/Devops;İş Yerinde;2022
Uluğ Enerji Dağıtım ve Perakende Satış Hizmetleri;Ankara;DevOps Uzmanı;Hibrit;2022
Borçelik;Bursa;Proje Yönetim Ofisi Uzmanı;İş Yerinde;2024
Gulf Sigorta A.Ş.;İstanbul;Nakliyat Sigortaları Underwriting Uzmanı;İş Yerinde;2022
RHG ENERTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ;İstanbul;Proje Yönetim Ofisi Uzmanı;İş Yerinde;2021
ABB Elektrik Sanayi A.Ş.;Kocaeli;Project Manager (Mv Switchgear);İş Yerinde;2022
TÜRKİYE KATILIM SİGORTA ANONİM ŞİRKETİ;İstanbul;Veri Tabanı Uzmanı;İş Yerinde;2024
G Teknoloji Bilişim San. ve Tic. A.Ş.;Kocaeli;GTech Veri Tabanı Akademisi;İş Yerinde;2021
Logo Yazılım San Ve Tic A.Ş.;İstanbul ;Kıdemli Veri Tabanı Uzmanı;Hibrit;2024
Sompo Sigorta A.Ş.;İzmir;Veri Tabanı Yöneticisi;İş Yerinde;2021
Nesine.com;İstanbul;Kıdemli Veri Tabanı Uzmanı Postgresql;İş Yerinde;2021
Gizli Firma;İstanbul;İş Geliştirme Yetkilisi;İş Yerinde;2023
Gizli Firma;İstanbul;İş Geliştirme Yetkilisi;İş Yerinde;2021
TÜRKİYE İHRACAT KREDİ BANKASI A.Ş.;İstanbul;Veri Tabanı Deneyimli Uzmanı;İş Yerinde;2023
Palmet Şirketler Grubu;Ankara;Veri Tabanı Uzmanı;Hibrit;2023
Mikrogrup;İstanbul;Veri Tabanı Uzmanı;Hibrit;2023
Sektöründe Öncü Firma;İstanbul;Veri Tabanı Uzmanı;Uzaktan / Remote;2022
Ges Lojistik;İstanbul;Business Development Manager;Hibrit;2024
RND;İstanbul;Proje Uzman Yardımcısı;Hibrit;2022
Minerva Yazılım;İstanbul;Proje Uzman Yardımcısı;İş Yerinde;2022
Turkon Holding;İstanbul;Projeler Uzman Yardımcısı;İş Yerinde;2024
Atasay Kuyumculuk;İstanbul;Ürün Yönetimi Uzman Yardımcısı / Altın Markalar;Uzaktan / Remote;2023
COŞKUN HAZIR GİYİM A.Ş;İstanbul;Alokasyon / Ürün Dağıtım Uzman Yardımcısı;İş Yerinde;2021
Koç Üniversitesi;İstanbul;Cleanroom Assistant Specialist;İş Yerinde;2021
Gizli Firma;İstanbul;IT Operations Senior Specialist;İş Yerinde;2022
Aras Kargo;Bursa;Kıdemli İş Zekası Uzmanı;Hibrit;2023
İstanbul Sabiha Gökçen Uluslararası Havalimanı;İstanbul;IT Operasyon Destek Uzmanı;Uzaktan / Remote;2023
Bosch;Kocaeli;IT Product/Service Expert Consultant;İş Yerinde;2024
Bosch;Tekirdağ;IT Solution Consultant;Hibrit;2021
TRELLEBORG;İstanbul;IT Operations;İş Yerinde;2021
World Medicine İlaç San.Ve Tic. A.Ş.;Ankara;Çerkezköy - Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2022
MNT Sağlık Hizmetleri Tic. A.Ş;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;Hibrit;2023
Muzaffer Polat San. Tic. A.Ş.;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2023
AYTEMİZ KESİNTİSİZ GÜÇ KAYNAKLARI ANONİM ŞİRKETİ;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2022
AYTEMİZ AKARYAKIT DAĞITIM ANONİM ŞİRKETİ;Kayseri;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2022
Zülfikarlar Holding A.Ş;Kayseri;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2023
BELLONA MOBİLYA SAN. VE TİC. A.Ş.;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;Uzaktan / Remote;2024
Sersim Dayanıklı Tüketim Mal San ve Tic İbrahim Ustaoğlu Mehmet Ustaoğlu Kol Şir;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2023
Optik Medikal Ticaret A.Ş.;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2022
Sompo Sigorta A.Ş.;İstanbul;Yardımcı Süreç Analizi Yöneticisi;İş Yerinde;2023
Acme Holding;İstanbul;ERP Destek Sorumlusu;İş Yerinde;2021
Taha Giyim San. Ve Tic. A.Ş.;Ankara;SAP MM Modül Uzmanı;İş Yerinde;2024
Taha Giyim San. Ve Tic. A.Ş.;İstanbul;SAP MM Modül Uzmanı;Hibrit;2022
TÜRKERLER İNŞAAT TURİZM MADEN.ENERJİÜR.TİC.VE SAN.AŞ;İstanbul;Lisans İşleri Uzmanı;Hibrit;2023
Sampaş A.Ş.;İstanbul;GIS Yazılım Geliştirme Uzmanı;İş Yerinde;2021
TM MARKETING DANIŞMANLIK LİMİTED ŞİRKETİ;İstanbul;CRM Specialist;İş Yerinde;2023
TatilBudur.Com;Ankara;CRM Uzmanı;İş Yerinde;2021
İstanbul Bilgi Üniversitesi;İstanbul;CRM Uzmanı;İş Yerinde;2021
Smile Hair Clinic;İstanbul;Analysis & Reporting Specialist;İş Yerinde;2021
DİNAMİK OKULLARI -DİNAMİK MESLEKİ VE TEKNİK ANADOLU LİSESİ;Samsun;Matematik Öğretmeni;İş Yerinde;2024
Dilko Dil Kültür Hizmetleri ve Okulculuk Tic. A.Ş.;İstanbul;Matematik Öğretmeni;Hibrit;2022
Teleperformance Türkiye;İstanbul;Bilgi Teknolojileri Stajyeri;İş Yerinde;2021
İSTEK İstanbul Eğitim Hizmetleri A.Ş;İstanbul ;Matematik Öğretmeni;İş Yerinde;2022
Teknorot Otomotiv Ürünleri San.ve Tic.A.Ş.;Düzce;Proje Mühendisi;İş Yerinde;2024
Tosyalı Holding;İstanbul;Hidrojen Teknolojileri Müdürü;İş Yerinde;2021
ÖZAK GLOBAL HOLDİNG A.Ş.;İstanbul;Proje Lideri;İş Yerinde;2022
VOLT TEKNOLOJİ GELİŞTİRME VE MÜHENDİSLİK A.Ş.;İzmir;Proje Lideri;İş Yerinde;2022
M Plus;Van;Bilgi Teknolojileri \ IT Stajyeri Van;Hibrit;2023
Ekomak Endüstriyel Kompresör ve Makina;Kocaeli;Project Lead;İş Yerinde;2022
İpekyol Giyim San. ve Tic. A.Ş.;İstanbul;Project Lead;İş Yerinde;2023
Mandarin Oriental Bosphorus İstanbul;İstanbul;Information Technology Supervisor;İş Yerinde;2022
SAYIN Law & Consulting;İzmir;Analiz ve Raporlama Uzmanı;İş Yerinde;2021
DIGITURK;İstanbul;Fraud Tespit Bölge Sorumlusu;İş Yerinde;2024
DGPAYS BİLİŞİM HİZMETLERİ A.Ş;İstanbul;Kıdemli Fraud Uzmanı;Uzaktan / Remote;2023
Lila Kağıt San. ve Tic A.Ş.;İstanbul;Bilgi Teknolojileri Stajyeri;İş Yerinde;2023
C.F. Maier Polimer Teknik Ltd. Şti.;Tekirdağ;Poliüretan Uzmanı;Hibrit;2021
ODELO OTOMOTİV AYDINLATMA A.Ş. -BAYRAKTARLAR HOLDİNG;Bursa;Proje Lideri;Hibrit;2024
LC Waikiki;İstanbul;Analiz ve Raporlama Uzmanı;İş Yerinde;2023
VOLT TEKNOLOJİ GELİŞTİRME VE MÜHENDİSLİK A.Ş.;İzmir;Proje Lideri;İş Yerinde;2022
Gizia Moda Tekstil San Ve Dış Tic.Ltd. Şti;İstanbul;ERP Sorumlusu - Gızıa Genel Müdürlük;Uzaktan / Remote;2023
Şekerci Cafer Erol Şekerleme San. ve Tic. Ltd. Şti;İstanbul;ERP Sorumlusu;İş Yerinde;2022
Özçete Oto. İnş.San Ve Tic Aş;Adana;Canias ERP Yazılım Sorumlusu;Uzaktan / Remote;2021
DİA YAZILIM SAN.VE TİC.A.Ş.;İstanbul;ERP Satış Destek Uzmanı;İş Yerinde;2023
DENGE OTO YEDEK PARÇA VE PLASTİK SANAYİ VE DIŞ TİC;Kocaeli;ERP Sorumlusu;Hibrit;2024
Yılmaz Makine San. Ve Tic. A.Ş.;Kocaeli;ERP Sorumlusu;İş Yerinde;2023
UYGUR SAVUNMA LTD. ŞTİ.;Ankara;ERP ve IT Personeli;İş Yerinde;2022
SOYLU ORMAN ÜRÜNLERİ İNŞAAT SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ;İstanbul;ERP Sorumlusu;İş Yerinde;2023
Esas Gayrimenkul;İstanbul;Avm Operasyonları Kıdemli Uzmanı;Hibrit;2024
SÜMER ÇELİK DÖKÜM SAN. VE TİC.A.Ş.;İzmir;ERP Sorumlusu;İş Yerinde;2021
Adöksan Döküm Sanayi Tic.Ltd.Şti.;İstanbul;ERP Sorumlusu;İş Yerinde;2021
Karsan;Bursa;AR-GE Teşvik ve Süreç Yöneticisi;Hibrit;2023
Mavi;İstanbul;Ürün Geliştirme Asistanı;İş Yerinde;2024
Mavi Giyim Sanayi ve Ticaret A.Ş.;İstanbul;Product Development Associate(Denim);Hibrit;2024
ininal;İstanbul;Operasyon Destek Uzman Yardımcısı;İş Yerinde;2022
Emaar Türkiye;İstanbul;Operation Support Specialist;Hibrit;2021
PwC;İstanbul;Business Development Intern;Hibrit;2022
Ramsey-Kip;İstanbul;Süreç Yönetimi Uzman Yardımcısı;Hibrit;2024
Asis;İstanbul;Product Assistant Specialist;İş Yerinde;2022
EMPRESS MÜCEVHER VE DERİ SANAYİ TİCARET ANONİM ŞİRKETİ;İstanbul;Ürün Asistanlığı;Hibrit;2021
FLO Mağazacılık;İstanbul;Ürün Uzman Yardımcısı;İş Yerinde;2022
Bella Maison;İstanbul;Ürün Uzman Yardımcısı;İş Yerinde;2021
Kiğılı Giyim Tic.A.Ş.;İstanbul;Future Talent Staj Programı Başlıyor!;Hibrit;2021
CORAL HOLDİNG ANONİM ŞİRKETİ;Antalya;Product & Yield Management Senior Specialist;İş Yerinde;2023
CORAL HOLDİNG ANONİM ŞİRKETİ;Antalya;Product & Yield Management Specialist;Hibrit;2021
Doğuş Yayın Grubu;İstanbul;İçerik Koordinasyon Stajyeri;İş Yerinde;2023
Note Cosmetique;İstanbul;Jr. Product Manager;İş Yerinde;2021
Nurdil Teknik Soğutma San. ve Tic. A.Ş.;Ankara;Test Mühendisi;İş Yerinde;2023
ABB Elektrik Sanayi A.Ş.;Kocaeli;Test Engineer (LV Switchgear);Hibrit;2021
EnginSoft Turkey;Ankara;Test and Validation Engineer;Hibrit;2022
SGS Supervise Gözetme Etüd Kontrol Servisleri A.Ş.;İstanbul;Test Mühendisi (Elektrik&Elektronik);İş Yerinde;2022
PO LIGHTING TURKEY ENDÜSTRİYEL ÜRÜNLER İMALAT VE TİCARET ANONİM ŞİRKETİ;İstanbul;Test Engineer;İş Yerinde;2022
Eltaş Transformatör  San. ve Tic.  A.Ş.;İzmir;Test Mühendisi;İş Yerinde;2021
Kaltun Madencilik San. Tic. A.Ş.;Aydın;Analiz Uzmanı;İş Yerinde;2024
Baycan Elektrik San.Tic.A.Ş;Eskişehir;Test Mühendisi;Uzaktan / Remote;2024
Firma Bilgisi Gizli;Ankara;Test ve Doğrulama Mühendisi;İş Yerinde;2023
TR MEKATRONİK SİSTEMLER SAN. VE TİC. A.Ş.;Düzce;Test Mühendisi;Uzaktan / Remote;2024
C Tech Bilişim Teknolojileri San. ve Tic. A.Ş.;İstanbul;Production Test Engineer;Hibrit;2021
Sompo Sigorta A.Ş.;İstanbul;Performans Analiz ve Raporlama Yöneticisi;İş Yerinde;2022
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Kıdemli Analiz Uzmanı;Hibrit;2023
OTAM OTOMOTİV TEKNOLOJİLERİ ARAŞTIRMA GELİŞTİRME S;Kocaeli;Çevresel Test Mühendisi;İş Yerinde;2024
KSB Pompa Armatür San. ve Tic. A.Ş.;Ankara;Arge Test Mühendisi;İş Yerinde;2024
TRANSVARO ELEKTRON ALETLERİ SAN. VE TİC. A.Ş.;İstanbul;Test Mühendisi;İş Yerinde;2022
Randstad Türkiye;İstanbul;Product and Market Development Supervisor;İş Yerinde;2023
GNC CNC MAKİNA TEKNOLOJİLERİ ANONİM ŞİRKETİ;İstanbul;İş Geliştirme Yöneticisi;İş Yerinde;2021
ASİSGUARD SAVUNMA SANAYİ TİCARET ANONİM ŞİRKETİ;Ankara;Uluslararası İş Geliştirme Yöneticisi;İş Yerinde;2022
Türkiye Finans Katılım Bankası;İstanbul;Bs Çözüm Merkezi Yöneticisi;İş Yerinde;2023
Özak Global Holding;İstanbul;İş Geliştirme Yöneticisi;Uzaktan / Remote;2024
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Kıdemli Analiz Uzmanı;İş Yerinde;2024
Abdi İbrahim İlaç Sanayi ve Ticaret A.Ş.;İstanbul;İş Süreçleri Yöneticisi;İş Yerinde;2023
Protel Bilgisayar A.Ş.;İstanbul;Yazılım Teknik Destek Uzmanı, Restoran Sistemleri;İş Yerinde;2021
Maxx Royal Resorts;Antalya;Cost Control Şef Yardımcısı;İş Yerinde;2023
Propos Yazılım, Barkod ve Güvenlik Sistemleri;Trabzon;Yazılım Teknik Destek Uzmanı;İş Yerinde;2022
Avansas;Kocaeli;OPEX Specialist;İş Yerinde;2021
DEVA Holding A.Ş.;İstanbul;İş Mükemmelliği Uzmanı;Hibrit;2022
Ramsey-Kip;İstanbul;İş Mükemmelliği Uzmanı;İş Yerinde;2022
İçdaş Çelik Enerji Tersane ve Ulaşım San. A.Ş.;İstanbul;SAP ABAP Yazılımcısı;İş Yerinde;2021
Axa Sigorta A.Ş;İstanbul;İş Mükemmelliği Uzman / Uzman Yrd.;İş Yerinde;2022
Abdi İbrahim İlaç Sanayi ve Ticaret A.Ş.;İstanbul;Uygulama Teknolojileri Analisti;İş Yerinde;2022
NAOS İSTANBUL KOZMETİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;İstanbul;Veri Analitiği ve Raporlama Uzmanı;İş Yerinde;2024
Supplementler.com;İstanbul;Operasyon ve Raporlama Uzmanı /Veri Analizi;Uzaktan / Remote;2023
Erçal Fındık Otomotiv San. ve Tic. A.Ş;Samsun;Veri Analizi ve Raporlama Uzmanı;İş Yerinde;2021
FLO Mağazacılık;İstanbul;CRM Uzmanı;Uzaktan / Remote;2022
AdresGezgini A.Ş.;İzmir;Data Analyst/ Researcher;İş Yerinde;2024
TURBOARD (E-Kalite);Ankara;Veri Analiz Uzmanı;İş Yerinde;2021
Vitabiotics;İstanbul;Veri Analiz Uzmanı;Hibrit;2024
Dem İlaç;İstanbul;SAP ABAP Developer;İş Yerinde;2021
TEMSA SKODA SABANCI ULAŞIM ARAÇLARI A.Ş;İstanbul;Data Analyst;Hibrit;2021
ÖZTREYLER;Kocaeli;Veri ve Sistem Uzmanı;Hibrit;2021
Gülsoy Otomotiv Sanayi ve Ticaret A.Ş.;İstanbul;Lojistik ve Planlama Uzmanı;İş Yerinde;2021
ARBA KİMYA SANAYİ TİCARET A.Ş.;İstanbul;Kıdemli Test Mühendisi;İş Yerinde;2021
SmartICT Bilişim A.Ş;Ankara;Test Uzman Mühendisi;Hibrit;2022
C Tech Bilişim Teknolojileri San. ve Tic. A.Ş.;İstanbul;Müşteri Deneyimi Uzmanı/Kıdemli Uzmanı;İş Yerinde;2022
Boğaziçi Elektrik Dağıtım Aş. Bedaş;İstanbul;Customer Experience Associate/Manager;Hibrit;2023
Burgan Bank Türkiye;İstanbul;Akademik Sektörde Deneyimli İstatistik Uzmanı;İş Yerinde;2023
İSTMER VERİ ANALİZİ ARGE YAZILIM VE DANIŞMANLIK ANONİM ŞİRKETİ;İstanbul;Information Technology Assistant;İş Yerinde;2022
Mandarin Oriental Bosphorus İstanbul;İstanbul;Bilgi Teknolojileri Asistanı;Hibrit;2024
NOBEL İLAÇ SAN.VE TİC.A.Ş.;İstanbul;IT Assistant;Uzaktan / Remote;2024
Birleşmiş Milletler Kalkınma Programı;İstanbul;Kıdemli Danışman;İş Yerinde;2022
ITG Ltd Şti.;İstanbul;Market Research Coordinator;Uzaktan / Remote;2021
DIGITURK;İstanbul;Bulut Bilişim ve Sanallaştırma Kıdemli Danışmanı;İş Yerinde;2022
KoçSistem;Ankara;Bilişim Destek Danışmanı;Hibrit;2024
MESUT HAKAN KARASU;İstanbul;İş Geliştirme Şefi (Alphega);Hibrit;2024
Alliance Healthcare Yatırım Holding A.Ş.;İstanbul;İş Geliştirme Şefi;İş Yerinde;2024
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Data & Project Integration Specialist (Temporary);İş Yerinde;2023
Mettler Toledo TR Ölçüm Aletleri Tic. Satış ve Servis Hizm. A.Ş.;İstanbul;Bilgi Teknolojileri Mühendisi;İş Yerinde;2022
Deniz Yüksel Donanım Yazılım Bilgisayar Tic ve Sa;İstanbul;İş Uygulamaları Uzmanı;Uzaktan / Remote;2024
ES KARİYER DANIŞMANLIK;İstanbul;IT İş Uygulamaları Uzmanı;İş Yerinde;2021
Türk Telekom;İstanbul;IT Engineer;İş Yerinde;2022
Martaş Otomotiv;İstanbul;Business Applications Specialist;İş Yerinde;2023
YÖRPAŞ YÖRESEL YİYECEKLER PAZARLAMA ANONİM ŞİRKETİ;İstanbul;Veri ve Sistem Uzmanı;İş Yerinde;2022
